အက္ခရာ,Display Name,မြန်မာအမည်,English / Stage Name,အမျိုးအစား,ကျား/မ,Search Keys,YouTube Keyword,စစ်ဆေးမှု,အရင်းအမြစ်
က,ကျော်ကျော်ဗိုလ်,ကျော်ကျော်ဗိုလ်,,Solo,အမျိုးသား,ကျော်ကျော်ဗိုလ်,ကျော်ကျော်ဗိုလ် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
က,ကျော်ညွန့်၊ ဦး,ကျော်ညွန့်၊ ဦး,,Solo,အမျိုးသား,"ကျော်ညွန့်၊ ဦး, ကျော်ညွန့်၊ဦး",ကျော်ညွန့်၊ ဦး karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
က,ကျော်ထင်,ကျော်ထင်,,Solo,အမျိုးသား,ကျော်ထင်,ကျော်ထင် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
က,ကျော်ထွဋ်ဆွေ,ကျော်ထွဋ်ဆွေ,,Solo,အမျိုးသား,ကျော်ထွဋ်ဆွေ,ကျော်ထွဋ်ဆွေ karaoke,Myanmar Net directory,https://shwe.net/song/list.php
က,ကျော်သီဟ,ကျော်သီဟ,,Solo,အမျိုးသား,ကျော်သီဟ,ကျော်သီဟ karaoke,Myanmar Net directory,https://shwe.net/song/list.php
က,ကျော်ဟိန်း,ကျော်ဟိန်း,Kyaw Hein,Solo,အမျိုးသား,"ကျော်ဟိန်း, Kyaw Hein, KyawHein",ကျော်ဟိန်း karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
က,ကြက်ဖ,ကြက်ဖ,,Solo,အမျိုးသား,ကြက်ဖ,ကြက်ဖ karaoke,Myanmar Net directory,https://shwe.net/song/list.php
က,ကြည်လဲ့လဲ့ဦး,ကြည်လဲ့လဲ့ဦး,,Solo,အမျိုးသမီး,ကြည်လဲ့လဲ့ဦး,ကြည်လဲ့လဲ့ဦး karaoke,Myanmar Net directory,https://shwe.net/song/list.php
က,ကြည်အောင်,ကြည်အောင်,,Solo,အမျိုးသမီး,ကြည်အောင်,ကြည်အောင် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
က,ကြိုးကြာ,ကြိုးကြာ,,Solo,အမျိုးသမီး,ကြိုးကြာ,ကြိုးကြာ karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ခ,ခင်ခင်ရီ,ခင်ခင်ရီ,,Solo,အမျိုးသမီး,ခင်ခင်ရီ,ခင်ခင်ရီ karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ခ,ခင်စုစုနိုင်,ခင်စုစုနိုင်,,Solo,မသတ်မှတ်,ခင်စုစုနိုင်,ခင်စုစုနိုင် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://www.viberate.com/music-charts/top-artists-from-myanmar/
ခ,ခင်ညွန့်ရည်,ခင်ညွန့်ရည်,,Solo,အမျိုးသမီး,ခင်ညွန့်ရည်,ခင်ညွန့်ရည် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
ခ,ခင်ဘုဏ်း,ခင်ဘုဏ်း,,Solo,အမျိုးသမီး,ခင်ဘုဏ်း,ခင်ဘုဏ်း karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ခ,ခင်မောင်ကြီး,ခင်မောင်ကြီး,,Solo,အမျိုးသား,ခင်မောင်ကြီး,ခင်မောင်ကြီး karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ခ,ခင်မောင်တိုး,ခင်မောင်တိုး,Khin Maung Toe,Solo,အမျိုးသား,"ခင်မောင်တိုး, Khin Maung Toe, KhinMaungToe",ခင်မောင်တိုး karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ခ,ခင်မောင်ထူး,ခင်မောင်ထူး,,Solo,အမျိုးသား,ခင်မောင်ထူး,ခင်မောင်ထူး karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ခ,ခင်ယုမေ,ခင်ယုမေ,,Solo,အမျိုးသမီး,ခင်ယုမေ,ခင်ယုမေ karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
ခ,ခင်ဝမ်း,ခင်ဝမ်း,Khin One,Solo,အမျိုးသား,"ခင်ဝမ်း, Khin One, KhinOne",ခင်ဝမ်း karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ခ,ခိုင်ထူး,ခိုင်ထူး,Khine Htoo,Solo,အမျိုးသား,"ခိုင်ထူး, Khine Htoo, KhineHtoo",ခိုင်ထူး karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ခ,ခိုင်သင်းကြည်,ခိုင်သင်းကြည်,,Solo,အမျိုးသမီး,ခိုင်သင်းကြည်,ခိုင်သင်းကြည် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ခ,ချစ်ကောင်း,ချစ်ကောင်း,Chit Kaung,Solo,အမျိုးသား,"ချစ်ကောင်း, Chit Kaung, ChitKaung",ချစ်ကောင်း karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ခ,ချစ်စနှိုးဦး,ချစ်စနှိုးဦး,,Solo,အမျိုးသမီး,ချစ်စနှိုးဦး,ချစ်စနှိုးဦး karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ခ,ချစ်စမ်းမောင်,ချစ်စမ်းမောင်,,Solo,အမျိုးသား,ချစ်စမ်းမောင်,ချစ်စမ်းမောင် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ခ,ချစ်ဆုဝေ,ချစ်ဆုဝေ,,Solo,အမျိုးသမီး,ချစ်ဆုဝေ,ချစ်ဆုဝေ karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ခ,ချစ်ဆွေ၊ စန္ဒရား,ချစ်ဆွေ၊ စန္ဒရား,,Solo,အမျိုးသား,"ချစ်ဆွေ၊ စန္ဒရား, ချစ်ဆွေ၊စန္ဒရား",ချစ်ဆွေ၊ စန္ဒရား karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ခ,ချစ်သုဝေ,ချစ်သုဝေ,Chit Thu Wai,Solo,အမျိုးသမီး,"ချစ်သုဝေ, Chit Thu Wai, ChitThuWai",ချစ်သုဝေ karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
ခ,ချမ်းချမ်း,ချမ်းချမ်း,Chan Chan,Solo,အမျိုးသမီး,"ချမ်းချမ်း, Chan Chan, ChanChan",ချမ်းချမ်း karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
ခ,ချမ်းပြည့်,ချမ်းပြည့်,,Solo,အမျိုးသား,ချမ်းပြည့်,ချမ်းပြည့် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ခ,ချမ်းမြေ့မောင်ချို,ချမ်းမြေ့မောင်ချို,,Solo,အမျိုးသမီး,ချမ်းမြေ့မောင်ချို,ချမ်းမြေ့မောင်ချို karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
ခ,ချိုပြုံး,ချိုပြုံး,,Solo,အမျိုးသမီး,ချိုပြုံး,ချိုပြုံး karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
ခ,ချောစုခင်,ချောစုခင်,,Solo,အမျိုးသမီး,ချောစုခင်,ချောစုခင် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ခ,ခွန်ပေါရန်း,ခွန်ပေါရန်း,,Solo,အမျိုးသား,ခွန်ပေါရန်း,ခွန်ပေါရန်း karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ခ,ခွန်သန်းထွန်း,ခွန်သန်းထွန်း,,Solo,အမျိုးသား,ခွန်သန်းထွန်း,ခွန်သန်းထွန်း karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ဂ,ဂရေဟမ်,ဂရေဟမ်,Graham,Solo,အမျိုးသား,"ဂရေဟမ်, Graham",ဂရေဟမ် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ဂ,ဂျက်ဆန်ထွန်း,ဂျက်ဆန်ထွန်း,,Solo,အမျိုးသား,ဂျက်ဆန်ထွန်း,ဂျက်ဆန်ထွန်း karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ဂ,ဂျက်မြသောင်း,ဂျက်မြသောင်း,,Solo,အမျိုးသား,ဂျက်မြသောင်း,ဂျက်မြသောင်း karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ဂ,ဂျင်းနီ,ဂျင်းနီ,,Solo,အမျိုးသမီး,ဂျင်းနီ,ဂျင်းနီ karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
ဂ,ဂျီဖက်,ဂျီဖက်,G Fatt,Solo,အမျိုးသား,"ဂျီဖက်, G Fatt, GFatt",ဂျီဖက် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ဂ,ဂျီလတ်,ဂျီလတ်,,Solo,အမျိုးသား,ဂျီလတ်,ဂျီလတ် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ဂ,ဂျေညီညီ,ဂျေညီညီ,J Nyi Nyi,Solo,အမျိုးသား,"ဂျေညီညီ, J Nyi Nyi, JNyiNyi",ဂျေညီညီ karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ဂ,ဂျေမီ,ဂျေမီ,J-Me,Solo,အမျိုးသား,"ဂျေမီ, J-Me, JMe",ဂျေမီ karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ဂ,ဂျေမောင်မောင်,ဂျေမောင်မောင်,,Solo,အမျိုးသား,ဂျေမောင်မောင်,ဂျေမောင်မောင် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ဂ,ဂျောက်ဂျက်,ဂျောက်ဂျက်,Jouk Jack,Solo,အမျိုးသား,"ဂျောက်ဂျက်, Jouk Jack, JoukJack",ဂျောက်ဂျက် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ဂ,ဂျွန်,ဂျွန်,,Solo,အမျိုးသား,ဂျွန်,ဂျွန် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
င,ငယ်ဆူး,ငယ်ဆူး,,Solo,အမျိုးသား,ငယ်ဆူး,ငယ်ဆူး karaoke,Myanmar Net directory,https://shwe.net/song/list.php
င,ငြိမ်းငြိမ်းအိ,ငြိမ်းငြိမ်းအိ,,Solo,အမျိုးသမီး,ငြိမ်းငြိမ်းအိ,ငြိမ်းငြိမ်းအိ karaoke,Myanmar Net directory,https://shwe.net/song/list.php
စ,စည်သူလွင်,စည်သူလွင်,Si Thu Lwin,Solo,အမျိုးသား,"စည်သူလွင်, Si Thu Lwin, SiThuLwin",စည်သူလွင် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
စ,စန္ဒရားလှထွဋ်,စန္ဒရားလှထွဋ်,,Solo,အမျိုးသား,စန္ဒရားလှထွဋ်,စန္ဒရားလှထွဋ် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
စ,စန္ဒီမြင့်လွင်,စန္ဒီမြင့်လွင်,Sandy Myint Lwin,Solo,မသတ်မှတ်,"စန္ဒီမြင့်လွင်, Sandy Myint Lwin, SandyMyintLwin",စန္ဒီမြင့်လွင် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://www.viberate.com/music-charts/top-artists-from-myanmar/
စ,စိန်ဗိုလ်တင့်,စိန်ဗိုလ်တင့်,,Solo,အမျိုးသား,စိန်ဗိုလ်တင့်,စိန်ဗိုလ်တင့် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
စ,စိန်လွင်,စိန်လွင်,,Solo,အမျိုးသား,စိန်လွင်,စိန်လွင် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
စ,စိမ်းမို့မို့,စိမ်းမို့မို့,,Solo,အမျိုးသမီး,စိမ်းမို့မို့,စိမ်းမို့မို့ karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
စ,စိုင်းခမ်းသီ,စိုင်းခမ်းသီ,,Solo,အမျိုးသား,စိုင်းခမ်းသီ,စိုင်းခမ်းသီ karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
စ,စိုင်းစိုင်းခမ်းလှိုင်,စိုင်းစိုင်းခမ်းလှိုင်,Sai Sai Kham Leng,Solo,အမျိုးသား,"စိုင်းစိုင်းခမ်းလှိုင်, Sai Sai Kham Leng, SaiSaiKhamLeng",စိုင်းစိုင်းခမ်းလှိုင် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
စ,စိုင်းဆိုင်မောဝ်,စိုင်းဆိုင်မောဝ်,Sai Saing Maw,Solo,မသတ်မှတ်,"စိုင်းဆိုင်မောဝ်, Sai Saing Maw, SaiSaingMaw",စိုင်းဆိုင်မောဝ် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://www.viberate.com/music-charts/top-artists-from-myanmar/
စ,စိုးစန္ဒာထွန်း,စိုးစန္ဒာထွန်း,,Solo,အမျိုးသမီး,စိုးစန္ဒာထွန်း,စိုးစန္ဒာထွန်း karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
စ,စိုးပိုင်,စိုးပိုင်,Soe Paing,Solo,အမျိုးသား,"စိုးပိုင်, Soe Paing, SoePaing",စိုးပိုင် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
စ,စိုးပြည့်သဇင်,စိုးပြည့်သဇင်,,Solo,အမျိုးသမီး,စိုးပြည့်သဇင်,စိုးပြည့်သဇင် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
စ,စိုးလွင်လွင်,စိုးလွင်လွင်,Soe Lwin Lwin,Solo,အမျိုးသား,"စိုးလွင်လွင်, Soe Lwin Lwin, SoeLwinLwin",စိုးလွင်လွင် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
စ,စိုးသိန်း၊ ဓနုဖြူ,စိုးသိန်း၊ ဓနုဖြူ,,Solo,အမျိုးသား,"စိုးသိန်း၊ ဓနုဖြူ, စိုးသိန်း၊ဓနုဖြူ",စိုးသိန်း၊ ဓနုဖြူ karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
စ,စိုးသူ,စိုးသူ,Soe Thu,Solo,အမျိုးသား,"စိုးသူ, Soe Thu, SoeThu",စိုးသူ karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
စ,စုမြတ်နိုးဦး,စုမြတ်နိုးဦး,,Solo,အမျိုးသမီး,စုမြတ်နိုးဦး,စုမြတ်နိုးဦး karaoke,Myanmar Net directory,https://shwe.net/song/list.php
စ,စောဘွဲ့မှူး,စောဘွဲ့မှူး,,Solo,အမျိုးသား,စောဘွဲ့မှူး,စောဘွဲ့မှူး karaoke,Myanmar Net directory,https://shwe.net/song/list.php
စ,စောလားထော်ဝါး,စောလားထော်ဝါး,,Solo,အမျိုးသား,စောလားထော်ဝါး,စောလားထော်ဝါး karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
စ,စံလင်း,စံလင်း,,Solo,အမျိုးသား,စံလင်း,စံလင်း karaoke,Myanmar Net directory,https://shwe.net/song/list.php
စ,မစိမ်းစိမ်း,မစိမ်းစိမ်း,,Solo,အမျိုးသမီး,မစိမ်းစိမ်း,မစိမ်းစိမ်း karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
ဆ,ဆိုတေး,ဆိုတေး,So Tay,Solo,အမျိုးသား,"ဆိုတေး, So Tay, SoTay",ဆိုတေး karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ဆ,ဆုန်သင်းပါရ်,ဆုန်သင်းပါရ်,Sone Thin Par,Solo,မသတ်မှတ်,"ဆုန်သင်းပါရ်, Sone Thin Par, SoneThinPar",ဆုန်သင်းပါရ် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://www.viberate.com/music-charts/top-artists-from-myanmar/
ဆ,ဆုပန်ထွာ,ဆုပန်ထွာ,,Solo,အမျိုးသမီး,ဆုပန်ထွာ,ဆုပန်ထွာ karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
ဆ,ဆောင်းဦးလှိုင်,ဆောင်းဦးလှိုင်,Saung Oo Hlaing,Solo,မသတ်မှတ်,"ဆောင်းဦးလှိုင်, Saung Oo Hlaing, SaungOoHlaing",ဆောင်းဦးလှိုင် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://www.viberate.com/music-charts/top-artists-from-myanmar/
ဆ,ဆွန်ကျဲအို၊ ဆလိုင်း,ဆွန်ကျဲအို၊ ဆလိုင်း,,Solo,အမျိုးသား,"ဆွန်ကျဲအို၊ ဆလိုင်း, ဆွန်ကျဲအို၊ဆလိုင်း",ဆွန်ကျဲအို၊ ဆလိုင်း karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ဆ,ဆွေဇင်ထိုက်,ဆွေဇင်ထိုက်,,Solo,အမျိုးသမီး,ဆွေဇင်ထိုက်,ဆွေဇင်ထိုက် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ဇ,ဇေယျာသော်,ဇေယျာသော်,Zayar Thaw,Solo,အမျိုးသား,"ဇေယျာသော်, Zayar Thaw, ZayarThaw",ဇေယျာသော် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ဇ,ဇေရဲ,ဇေရဲ,,Solo,အမျိုးသား,ဇေရဲ,ဇေရဲ karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ဇ,ဇော်ပိုင်,ဇော်ပိုင်,Zaw Paing,Solo,မသတ်မှတ်,"ဇော်ပိုင်, Zaw Paing, ZawPaing",ဇော်ပိုင် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://www.viberate.com/music-charts/top-artists-from-myanmar/
ဇ,ဇော်ဝင်းထွဋ်,ဇော်ဝင်းထွဋ်,Zaw Win Htut,Solo,အမျိုးသား,"ဇော်ဝင်းထွဋ်, Zaw Win Htut, ZawWinHtut",ဇော်ဝင်းထွဋ် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ဇ,ဇော်ဝင်းမောင်,ဇော်ဝင်းမောင်,,Solo,အမျိုးသား,ဇော်ဝင်းမောင်,ဇော်ဝင်းမောင် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ဇ,ဇော်ဝင်းရှိန်,ဇော်ဝင်းရှိန်,,Solo,အမျိုးသား,ဇော်ဝင်းရှိန်,ဇော်ဝင်းရှိန် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ဇ,ဇော်ဝမ်း,ဇော်ဝမ်း,,Solo,အမျိုးသား,ဇော်ဝမ်း,ဇော်ဝမ်း karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ဇ,ဇွဲပြည့်,ဇွဲပြည့်,,Solo,အမျိုးသား,ဇွဲပြည့်,ဇွဲပြည့် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသား_အဆိုတော်များ
ည,ညီညီမောင်,ညီညီမောင်,,Solo,အမျိုးသား,ညီညီမောင်,ညီညီမောင် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ည,ညီညီလွင်,ညီညီလွင်,,Solo,အမျိုးသား,ညီညီလွင်,ညီညီလွင် karaoke,Myanmar Net directory,https://shwe.net/song/list.php
ည,ညွန့်ညွန့်စိန်,ညွန့်ညွန့်စိန်,,Solo,အမျိုးသမီး,ညွန့်ညွန့်စိန်,ညွန့်ညွန့်စိန် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
ဌ,ဌေးဌေးမြင့်,ဌေးဌေးမြင့်,,Solo,အမျိုးသမီး,ဌေးဌေးမြင့်,ဌေးဌေးမြင့် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
တ,တင်ဇာမော်,တင်ဇာမော်,Tin Zar Maw,Solo,အမျိုးသမီး,"တင်ဇာမော်, Tin Zar Maw, TinZarMaw",တင်ဇာမော် karaoke,အတည်ပြုအရင်းအမြစ်ရှိ,https://my.wikipedia.org/wiki/ကဏ္ဍ:မြန်မာ_အမျိုးသမီး_အဆိုတော်များ
တ,တင်တင်မာ,တင်တင်မာ,,Solo,အမျိုးသမီး,တင်တင်မာ,တင်တင်မာ karaoke,Myanmar Net directory,https://shwe.net/song/list.php
